valuation_date 	instrument_id	period	price
2017-02-01	Tetco-ELA	2017-02-01	2.89
2017-02-02	Tetco-ELA	2017-02-02	3.005
2017-02-03	Tetco-ELA	2017-02-03	2.985
2017-02-04	Tetco-ELA	2017-02-04	2.88
2017-02-05	Tetco-ELA	2017-02-05	2.88
2017-02-06	Tetco-ELA	2017-02-06	2.88
2017-02-07	Tetco-ELA	2017-02-07	2.815
2017-02-08	Tetco-ELA	2017-02-08	2.935
2017-02-09	Tetco-ELA	2017-02-09	2.96
2017-02-10	Tetco-ELA	2017-02-10	2.955
2017-02-11	Tetco-ELA	2017-02-11	2.865
2017-02-12	Tetco-ELA	2017-02-12	2.865
2017-02-13	Tetco-ELA	2017-02-13	2.865
2017-02-14	Tetco-ELA	2017-02-14	2.8
2017-02-15	Tetco-ELA	2017-02-15	2.825
2017-02-16	Tetco-ELA	2017-02-16	2.82
2017-02-17	Tetco-ELA	2017-02-17	2.685
2017-02-18	Tetco-ELA	2017-02-18	2.615
2017-02-19	Tetco-ELA	2017-02-19	2.615
2017-02-20	Tetco-ELA	2017-02-20	2.615
2017-02-21	Tetco-ELA	2017-02-21	2.615
2017-02-22	Tetco-ELA	2017-02-22	2.435
2017-02-23	Tetco-ELA	2017-02-23	2.425
2017-02-24	Tetco-ELA	2017-02-24	2.48
2017-02-25	Tetco-ELA	2017-02-25	2.385
2017-02-26	Tetco-ELA	2017-02-26	2.385
2017-02-27	Tetco-ELA	2017-02-27	2.385
2017-02-28	Tetco-ELA	2017-02-28	2.375
2017-02-01	Texas-Z1	2017-02-01	2.92
2017-02-02	Texas-Z1	2017-02-02	3.01
2017-02-03	Texas-Z1	2017-02-03	3.02
2017-02-04	Texas-Z1	2017-02-04	2.895
2017-02-05	Texas-Z1	2017-02-05	2.895
2017-02-06	Texas-Z1	2017-02-06	2.895
2017-02-07	Texas-Z1	2017-02-07	2.82
2017-02-08	Texas-Z1	2017-02-08	2.93
2017-02-09	Texas-Z1	2017-02-09	2.975
2017-02-10	Texas-Z1	2017-02-10	2.965
2017-02-11	Texas-Z1	2017-02-11	2.83
2017-02-12	Texas-Z1	2017-02-12	2.83
2017-02-13	Texas-Z1	2017-02-13	2.83
2017-02-14	Texas-Z1	2017-02-14	2.805
2017-02-15	Texas-Z1	2017-02-15	2.805
2017-02-16	Texas-Z1	2017-02-16	2.8
2017-02-17	Texas-Z1	2017-02-17	2.675
2017-02-18	Texas-Z1	2017-02-18	2.625
2017-02-19	Texas-Z1	2017-02-19	2.625
2017-02-20	Texas-Z1	2017-02-20	2.625
2017-02-21	Texas-Z1	2017-02-21	2.625
2017-02-22	Texas-Z1	2017-02-22	2.425
2017-02-23	Texas-Z1	2017-02-23	2.425
2017-02-24	Texas-Z1	2017-02-24	2.44
2017-02-25	Texas-Z1	2017-02-25	2.385
2017-02-26	Texas-Z1	2017-02-26	2.385
2017-02-27	Texas-Z1	2017-02-27	2.385
2017-02-28	Texas-Z1	2017-02-28	2.405
2017-02-01	Lebanon-Hub	2017-02-01	2.91
2017-02-02	Lebanon-Hub	2017-02-02	2.96
2017-02-03	Lebanon-Hub	2017-02-03	3.005
2017-02-04	Lebanon-Hub	2017-02-04	2.89
2017-02-05	Lebanon-Hub	2017-02-05	2.89
2017-02-06	Lebanon-Hub	2017-02-06	2.89
2017-02-07	Lebanon-Hub	2017-02-07	2.815
2017-02-08	Lebanon-Hub	2017-02-08	2.93
2017-02-09	Lebanon-Hub	2017-02-09	2.965
2017-02-10	Lebanon-Hub	2017-02-10	3
2017-02-11	Lebanon-Hub	2017-02-11	2.735
2017-02-12	Lebanon-Hub	2017-02-12	2.735
2017-02-13	Lebanon-Hub	2017-02-13	2.735
2017-02-14	Lebanon-Hub	2017-02-14	2.81
2017-02-15	Lebanon-Hub	2017-02-15	2.8
2017-02-16	Lebanon-Hub	2017-02-16	2.805
2017-02-17	Lebanon-Hub	2017-02-17	2.675
2017-02-18	Lebanon-Hub	2017-02-18	2.6
2017-02-19	Lebanon-Hub	2017-02-19	2.6
2017-02-20	Lebanon-Hub	2017-02-20	2.6
2017-02-21	Lebanon-Hub	2017-02-21	2.6
2017-02-22	Lebanon-Hub	2017-02-22	2.395
2017-02-23	Lebanon-Hub	2017-02-23	2.365
2017-02-24	Lebanon-Hub	2017-02-24	2.425
2017-02-25	Lebanon-Hub	2017-02-25	2.36
2017-02-26	Lebanon-Hub	2017-02-26	2.36
2017-02-27	Lebanon-Hub	2017-02-27	2.36
2017-02-28	Lebanon-Hub	2017-02-28	2.385
2017-02-01	Henry-Hub	2017-02-01	3.005
2017-02-02	Henry-Hub	2017-02-02	3.12
2017-02-03	Henry-Hub	2017-02-03	3.1
2017-02-04	Henry-Hub	2017-02-04	3
2017-02-05	Henry-Hub	2017-02-05	3
2017-02-06	Henry-Hub	2017-02-06	3
2017-02-07	Henry-Hub	2017-02-07	2.925
2017-02-08	Henry-Hub	2017-02-08	3.035
2017-02-09	Henry-Hub	2017-02-09	3.045
2017-02-10	Henry-Hub	2017-02-10	3.1
2017-02-11	Henry-Hub	2017-02-11	2.925
2017-02-12	Henry-Hub	2017-02-12	2.925
2017-02-13	Henry-Hub	2017-02-13	2.925
2017-02-14	Henry-Hub	2017-02-14	2.91
2017-02-15	Henry-Hub	2017-02-15	2.855
2017-02-16	Henry-Hub	2017-02-16	2.92
2017-02-17	Henry-Hub	2017-02-17	2.82
2017-02-18	Henry-Hub	2017-02-18	2.745
2017-02-19	Henry-Hub	2017-02-19	2.745
2017-02-20	Henry-Hub	2017-02-20	2.745
2017-02-21	Henry-Hub	2017-02-21	2.745
2017-02-22	Henry-Hub	2017-02-22	2.515
2017-02-23	Henry-Hub	2017-02-23	2.535
2017-02-24	Henry-Hub	2017-02-24	2.6
2017-02-25	Henry-Hub	2017-02-25	2.48
2017-02-26	Henry-Hub	2017-02-26	2.48
2017-02-27	Henry-Hub	2017-02-27	2.48
2017-02-28	Henry-Hub	2017-02-28	2.435
